City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,tailai,46.3833,123.4,2.9,36,100,4.28,CN,1698692518
326,makhambet,47.6667,51.5833,6.56,71,9,1.7,KZ,1698692518
327,paphos,34.7667,32.4167,22.88,60,0,1.54,CY,1698692518
328,katoomba,-33.7198,150.3074,20.98,40,14,4.72,AU,1698692519
329,canutama,-6.5339,-64.3831,38.44,27,99,1.31,BR,1698692519
330,palikir - national government center,6.9248,158.1611,28.28,78,100,6.68,FM,1698692519
331,hammerfest,70.6634,23.6821,0.25,86,40,3.6,NO,1698692519
332,menaka,15.9182,2.4022,33.04,8,0,4.12,ML,1698692519
333,fort bragg,35.139,-79.006,29.91,45,0,5.14,US,1698692519
334,el abiodh sidi cheikh,32.893,0.5484,21.34,32,41,1.78,DZ,1698692520
335,cannonvale,-20.2833,148.7,21.66,70,100,2.41,AU,1698692520
336,nabire,-3.3667,135.4833,23.66,93,100,1.1,ID,1698692520
337,harper,4.375,-7.7169,26.39,83,10,2.94,LR,1698692520
338,ust-nera,64.5667,143.2,-18.13,99,87,1.81,RU,1698692520
339,atbasar,51.8,68.3333,3.14,87,100,6.22,KZ,1698692521
340,san salvador de jujuy,-24.1946,-65.2971,30.74,47,79,5.75,AR,1698692521
341,filingue,14.3521,3.3168,33.87,9,4,3.0,NE,1698692521
342,vilyuysk,63.7553,121.6247,-15.0,96,98,1.79,RU,1698692521
343,sao raimundo nonato,-9.0153,-42.6994,37.95,15,52,3.09,BR,1698692281
344,xichang,27.8964,102.2634,12.57,83,68,0.68,CN,1698692522
345,colonia,50.9333,6.95,13.75,91,20,4.12,DE,1698692231
346,carbonear,47.7332,-53.2148,6.75,47,100,4.78,CA,1698692522
347,konokovo,44.8616,41.3266,13.82,64,3,3.66,RU,1698692522
348,bodo,67.28,14.405,-2.35,84,0,5.66,NO,1698692523
349,coyhaique,-45.5752,-72.0662,10.97,30,40,2.57,CL,1698692523
350,coahuayana de hidalgo,18.7,-103.6583,30.86,66,42,2.51,MX,1698692523
351,ulanhot,46.0833,122.0833,2.09,44,100,4.38,CN,1698692524
352,okhotsk,59.3833,143.3,-6.66,87,100,2.04,RU,1698692524
353,barcelos,41.5388,-8.6151,17.08,88,4,2.34,PT,1698692257
354,gizo,-8.103,156.8419,27.01,81,100,2.11,SB,1698692524
355,extrema,-22.8547,-46.3183,23.74,85,66,0.26,BR,1698692492
356,kidal,18.4411,1.4078,30.95,9,0,5.25,ML,1698692524
357,owando,-0.4819,15.8999,25.76,76,83,1.15,CG,1698692524
358,ligny-en-barrois,48.6886,5.3254,12.66,93,100,7.69,FR,1698692525
359,kone,-21.0595,164.8658,20.1,73,99,1.94,NC,1698692525
360,vernon,50.2581,-119.2691,4.05,55,59,1.03,CA,1698692525
361,usogorsk,63.4106,48.6872,-3.52,83,100,1.25,RU,1698692525
362,bogande,12.9714,-0.1436,33.05,12,5,4.38,BF,1698692525
